25 cent piece	binting
50 cent piece	salapi
75 liters	kaban
abandon	baybay-an
abandon	ibati
abandon	likudan
abandon	panawan
abdomen	pus-ong
abdomen	tian
abduct	agawen
abduct	itaray
abeyance	panagur-uray
abeyance	panangteng-ngel
abide	agtaeng
ability	kabaelan
ability	kabaelan
able	addaan bileg
able	addan kabaelan
able	napigsa
able to enter	makasterikk
abnormal	naisupadi iti kaaduan
aboard	nakalugan
aboard	nakasakay
aboard	silulugan
abolish	ikkaten
abolish	pukawen
abortive	naganak a saanna a tiempo
about	maipanghep
about	maipapan
about	panghep
above	iti ngato
above	ngato
above	ngato
above	ngatuen
abridge	gupongen
abridge	yababa
abroad	balasiw-taaw
abrupt	dagus la nga
abrupt	kelaat
absence	kaawan
absent	awan
absent	lumangan
absent minded	talimpungawen
absent	saan a simbrek
absolute	makabalin
absolute	ti isuamin
absorb	agsepen
absorb	maikuyog
absorb	sahepsepen
absorb	sisipen
abstain	mangirnad
absurd	awan banagna
absurd	di rumbeng
absurd	nakakat-katawa
abundance	kinaadu
abundant	naruay
abuse	panagsalungasibng
abuse	ranggas
abusive	naranggas
accelerate	papardasen
accent	ayug
accent	talmeg
accent	tuldek
accept	alen
accept	awaten
accept	umawat
accessory	nayon
accidentally	di pinanghep
accidentally	saan a hinagara
accompany	agkadua
accompany	kumuyog
accomplish	aramiden
accomplish	leppasen
according	panagtunos
account	agkuenta
accountant	kontador
accountant	magtaming iti libro ti kompaniia
account	ibilang
accounting	agbilbilang
account	pakabilangan
account	sungbatan
accurate	nakanatad
accused	napabasol
accuse	pabasolen
accustom	ipakadawyan
accustom	iruam
accustom	mairuam
accustom	maruam
accustom	ruam
ache	kasakit
ache	sumakit
ache	ut-ot
achieve	gun-oden
achieve	kalikaguma
acidity	alsem
acidity	kinaalsem
acknowledge	ammuen
acknowledge	awaten
acknowledge	bigbihen
acompany	kaduaan
acompany	kuyohen
acquaintance	am-ammo
acquaint	ipaammo
acquaint	ipakaammo
acquaint	yammo
acquire	alaen
across	balasiw
across	idiay banihir
act	agaramid
act	gapuanan
act	gumaraw
action	aramad
action	aramid
action	garaw
active	nagreta
active	nasiglat
active	sabibiag
activity	aramid
actress	artista a babai
actual	agpayso
actual	pudno
add	inayon
additional	inayun
addition	panangnayon
add	nayon
add	nayonan
add	pagtiponen
address	balay
address	pagtaengan
address	panagbitla
add to	nayonan
adequate	makaanay
adequate	umdas
adjective	adhektibo
adjective	sarita a mangted ti kaipapanan ti banag
adjust	ibagay
admiral	panagdayaw
admire	bigbihen a sidadayaw
admire	dayawen
admission	panagawat
admission	panagpastrek
admit	awate
admit	pastreken
ado	bountipul
ado	many
adopt	alaen
adopt	panangala a kas kukua
adopt	taraknen
adore	ayaten
adore	dayawen
adult	lakay
adult	nataengan
advance	idadarup
