baybay-an Enclitic; ! abandon
ibati Enclitic; ! abandon
likudan Enclitic; ! abandon
panawan Enclitic; ! abandon
agawen Enclitic; ! abduct
itaray Enclitic; ! abduct
agtaeng Enclitic; ! abide
napigsa Enclitic; ! able
nakalugan Enclitic; ! aboard
nakasakay Enclitic; ! aboard
silulugan Enclitic; ! aboard
ikkaten Enclitic; ! abolish
pukawen Enclitic; ! abolish
maipanghep Enclitic; ! about
maipapan Enclitic; ! about
panghep Enclitic; ! about
ngato Enclitic; ! above
ngato Enclitic; ! above
ngatuen Enclitic; ! above
gupongen Enclitic; ! abridge
yababa Enclitic; ! abridge
balasiw-taaw Enclitic; ! abroad
kelaat Enclitic; ! abrupt
awan Enclitic; ! absent
lumangan Enclitic; ! absent
makabalin Enclitic; ! absolute
agsepen Enclitic; ! absorb
maikuyog Enclitic; ! absorb
sahepsepen Enclitic; ! absorb
sisipen Enclitic; ! absorb
mangirnad Enclitic; ! abstain
nakakat-katawa Enclitic; ! absurd
naruay Enclitic; ! abundant
panagsalungasibng Enclitic; ! abuse
ranggas Enclitic; ! abuse
naranggas Enclitic; ! abusive
papardasen Enclitic; ! accelerate
ayug Enclitic; ! accent
talmeg Enclitic; ! accent
tuldek Enclitic; ! accent
alen Enclitic; ! accept
awaten Enclitic; ! accept
umawat Enclitic; ! accept
nayon Enclitic; ! accessory
agkadua Enclitic; ! accompany
kumuyog Enclitic; ! accompany
aramiden Enclitic; ! accomplish
leppasen Enclitic; ! accomplish
panagtunos Enclitic; ! according
agkuenta Enclitic; ! account
ibilang Enclitic; ! account
agbilbilang Enclitic; ! accounting
pakabilangan Enclitic; ! account
sungbatan Enclitic; ! account
nakanatad Enclitic; ! accurate
napabasol Enclitic; ! accused
pabasolen Enclitic; ! accuse
ipakadawyan Enclitic; ! accustom
iruam Enclitic; ! accustom
mairuam Enclitic; ! accustom
maruam Enclitic; ! accustom
ruam Enclitic; ! accustom
kasakit Enclitic; ! ache
sumakit Enclitic; ! ache
ut-ot Enclitic; ! ache
gun-oden Enclitic; ! achieve
kalikaguma Enclitic; ! achieve
ammuen Enclitic; ! acknowledge
awaten Enclitic; ! acknowledge
bigbihen Enclitic; ! acknowledge
ipaammo Enclitic; ! acquaint
ipakaammo Enclitic; ! acquaint
yammo Enclitic; ! acquaint
alaen Enclitic; ! acquire
balasiw Enclitic; ! across
agaramid Enclitic; ! act
gapuanan Enclitic; ! act
gumaraw Enclitic; ! act
aramad Enclitic; ! action
aramid Enclitic; ! action
garaw Enclitic; ! action
nagreta Enclitic; ! active
nasiglat Enclitic; ! active
sabibiag Enclitic; ! active
agpayso Enclitic; ! actual
pudno Enclitic; ! actual
inayon Enclitic; ! add
inayun Enclitic; ! additional
nayon Enclitic; ! add
nayonan Enclitic; ! add
pagtiponen Enclitic; ! add
balay Enclitic; ! address
pagtaengan Enclitic; ! address
panagbitla Enclitic; ! address
makaanay Enclitic; ! adequate
umdas Enclitic; ! adequate
adhektibo Enclitic; ! adjective
ibagay Enclitic; ! adjust
dayawen Enclitic; ! admire
awate Enclitic; ! admit
pastreken Enclitic; ! admit
alaen Enclitic; ! adopt
taraknen Enclitic; ! adopt
ayaten Enclitic; ! adore
dayawen Enclitic; ! adore
lakay Enclitic; ! adult
nataengan Enclitic; ! adult
idadarup Enclitic; ! advance
gundaway Enclitic; ! advantage
pagsayaatan Enclitic; ! advantage
managpadas Enclitic; ! adventurous
natured Enclitic; ! adventurous
ipaamo Enclitic; ! advertise
iwarnak Enclitic; ! advertise
makikadua Enclitic; ! affiliate
makipagrikna Enclitic; ! affiliate
panangipaay Enclitic; ! afford
agbuteng Enclitic; ! afraid
maamak Enclitic; ! afraid
mabain Enclitic; ! afraid
mabuteng Enclitic; ! afraid
matakot Enclitic; ! afraid
kalpasan Enclitic; ! after
kalpasan Enclitic; ! after
kalpasan Enclitic; ! afterwards
manen Enclitic; ! again
tawen Enclitic; ! age
nasiglat Enclitic; ! agile
mannakikanunong Enclitic; ! agreeable
kumanong Enclitic; ! agree
maibagay Enclitic; ! agree
umanamo Enclitic; ! agree
immun-una Enclitic; ! ahead
masanguanan Enclitic; ! ahead
badang Enclitic; ! aid
tulong Enclitic; ! aid
gandat Enclitic; ! aim
panghep Enclitic; ! aim
angin Enclitic; ! air
nariribuk Enclitic; ! alarm
nawarnakan Enclitic; ! alarm
ay! Enclitic; ! alas
ipaganggannaet Enclitic; ! alienate
isina Enclitic; ! alienate
ganggannaet Enclitic; ! alien
agdisso Enclitic; ! alight
bumaba Enclitic; ! alight
agkaingas Enclitic; ! alike
agkarupa Enclitic; ! alike
agpada Enclitic; ! alike
nabyag Enclitic; ! alive
nasaranta Enclitic; ! alive
sibibiag Enclitic; ! alive
amin Enclitic; ! all
akusar Enclitic; ! alleged
buaya Enclitic; ! alligator
our Enclitic; ! all
ipalubos Enclitic; ! allow
palubosan Enclitic; ! allow
palugodan Enclitic; ! allow
kadua Enclitic; ! ally
gayyem Enclitic; ! ally
dandani Enclitic; ! almost
nahistayan Enclitic; ! almost
agmaymaysa Enclitic; ! alone
agmay-maysa Enclitic; ! alone
en Enclitic; ! already
met Enclitic; ! also
pay Enclitic; ! also
isu-amin Enclitic; ! altogether
sapasap Enclitic; ! altogether
agnanayon Enclitic; ! always
agsiddaaw Enclitic; ! amaze
butngen Enclitic; ! amaze
agsiddaaw Enclitic; ! amazed
pagsidaawen Enclitic; ! amaze
tarigagay Enclitic; ! ambition
baliwan Enclitic; ! amend
paburaen Enclitic; ! amend
dagup Enclitic; ! amount
gatad Enclitic; ! amount
adu Enclitic; ! ample
aumdas Enclitic; ! ample
dakkel Enclitic; ! ample
siak Enclitic; ! am
maka-isem Enclitic; ! amusing
paubet Enclitic; ! anal
sumanglad Enclitic; ! anchor
daan Enclitic; ! ancient
ugma Enclitic; ! ancient
pungtot Enclitic; ! anger
unget Enclitic; ! anger
buringetnget Enclitic; ! angry
maassar Enclitic; ! angry
marurud Enclitic; ! angry
nakaunget Enclitic; ! angry
naunget Enclitic; ! angry
nauyong Enclitic; ! angry
rigat Enclitic; ! anguish
sakit Enclitic; ! anguish
animal Enclitic; ! animal
ayup Enclitic; ! animal
hayop Enclitic; ! animal
ipakaammo Enclitic; ! announce
iwarnak Enclitic; ! announce
riribuken Enclitic; ! annoy
singaen Enclitic; ! annoy
tinawen Enclitic; ! annual
sabali Enclitic; ! another
sumungbat Enclitic; ! answer
sungbat Enclitic; ! answer
madukotan Enclitic; ! anxious
mailiw Enclitic; ! anxious
nagagar Enclitic; ! anxious
partakam Enclitic; ! anxious
maipusing Enclitic; ! apart
maisina Enclitic; ! apart
agparang Enclitic; ! apparently
nalawag Enclitic; ! apparently
agdawat Enclitic; ! appeal
agkiddaw Enclitic; ! appeal
agparang Enclitic; ! appear
lumgak Enclitic; ! appear
nagpakita Enclitic; ! appear
agpalakpak Enclitic; ! applaud
agtarigagay Enclitic; ! apply
ipakat Enclitic; ! apply
dutokan Enclitic; ! appoint
dutoken Enclitic; ! appoint
dayawen Enclitic; ! appreciate
idayaw Enclitic; ! appreciate
agdadamo Enclitic; ! apprentice
katulongan Enclitic; ! apprentice
asitgan Enclitic; ! approach
umasideg Enclitic; ! approach
anamongan Enclitic; ! approve
arko Enclitic; ! arch
is Enclitic; ! are
mapan Enclitic; ! are
pannakisupiat Enclitic; ! argue
sumungbat Enclitic; ! argue
bumangon Enclitic; ! arise
tumakder Enclitic; ! arise
aritmetika Enclitic; ! arithmetic
braso Enclitic; ! arm
kabal Enclitic; ! armor
kalasag Enclitic; ! armor
igam Enclitic; ! arms
takklag Enclitic; ! arms
takiag Enclitic; ! arm
aglawlaw Enclitic; ! around
aglikmut Enclitic; ! around
urnos Enclitic; ! arrange
urnosen Enclitic; ! arrange
pannakatiliw Enclitic; ! arrest
tiliwen Enclitic; ! arrest
dumteng Enclitic; ! arrive
sangpet Enclitic; ! arrive
sumangpet Enclitic; ! arrive
natangsit Enclitic; ! arrogant
banag Enclitic; ! articles
lako Enclitic; ! articles
salaysay Enclitic; ! articles
sumang-at Enclitic; ! ascend
umuli Enclitic; ! ascend
um-uli Enclitic; ! ascend
abo Enclitic; ! ash
mabain Enclitic; ! ashamed
dapo Enclitic; ! ash
dapo Enclitic; ! ashes
takdang Enclitic; ! ashore
malaksid Enclitic; ! aside
maysapay Enclitic; ! aside
kas Enclitic; ! as
damag Enclitic; ! ask
damahen Enclitic; ! ask
dawat Enclitic; ! ask
dumawat Enclitic; ! ask
saludsoden Enclitic; ! ask
matmaturog Enclitic; ! asleep
darupen Enclitic; ! assail
sabten Enclitic; ! assail
busoren Enclitic; ! assault
dangran Enclitic; ! assault
tipontiponen Enclitic; ! assemble
ursongen Enclitic; ! assemble
dutokan Enclitic; ! assign
ikeddeng Enclitic; ! assign
ipaaramid Enclitic; ! assign
anahen Enclitic; ! assimilate
tulongan Enclitic; ! assist
kadua Enclitic; ! associate
katulongan Enclitic; ! associate
akuen Enclitic; ! assume
alaen Enclitic; ! assume
ipagarup Enclitic; ! assume
yarig Enclitic; ! assume
pagsiddaawen Enclitic; ! astonish
naisisasi Enclitic; ! astray
isilpo Enclitic; ! attach
itipon Enclitic; ! attach
gubaten Enclitic; ! attack
rauten Enclitic; ! attack
maragpat Enclitic; ! attain
ragpaten Enclitic; ! attain
gay-aten Enclitic; ! attempt
padasen Enclitic; ! attempt
babaonen Enclitic; ! attendant
katulongan Enclitic; ! attendant
tabunuan Enclitic; ! attend
tamingen Enclitic; ! attend
kawes Enclitic; ! attire
lupot Enclitic; ! attire
awisen Enclitic; ! attract
maka-awis Enclitic; ! attractive
napintas Enclitic; ! attractive
malaing Enclitic; ! audacious
matured Enclitic; ! audacious
akin-aramid Enclitic; ! author
akin-gapauanan Enclitic; ! author
palubosan Enclitic; ! authorize
mannurat Enclitic; ! author
kotse Enclitic; ! automobile
kaduan Enclitic; ! average
pagtengngaan Enclitic; ! average
napasnek Enclitic; ! avid
adayuan Enclitic; ! avoid
liklikan Enclitic; ! avoid
lisian Enclitic; ! avoid
urayen Enclitic; ! await
agriing Enclitic; ! awake
nakariing Enclitic; ! awake
siririing Enclitic; ! awake
agsala Enclitic; ! award
gantimpala Enclitic; ! award
adayo Enclitic; ! away
buteng Enclitic; ! awe
siddaaw Enclitic; ! awe
makapabuteng Enclitic; ! awesome
apag-kanito Enclitic; ! awhile
madama Enclitic; ! awhile
wasay Enclitic; ! ax
ading Enclitic; ! baby
tikkpiek Enclitic; ! baby
inpiel Enclitic; ! baby
tahibi Enclitic; ! baby
ubing Enclitic; ! baby
baru Enclitic; ! bachelor
balikid Enclitic; ! back
bukot Enclitic; ! back
bukot Enclitic; ! back
likud Enclitic; ! back
likod Enclitic; ! back
likudan Enclitic; ! back
likuran Enclitic; ! back
palikud Enclitic; ! backward
pasanud Enclitic; ! backward
agsanud Enclitic; ! backwards
tres Enclitic; ! backwards
dakes Enclitic; ! bad
medalia Enclitic; ! badge
pag-ilasinan Enclitic; ! badge
tanda Enclitic; ! badge
sidadakes Enclitic; ! badly
madi Enclitic; ! bad
maldito Enclitic; ! bad
malditoa Enclitic; ! bad
masama Enclitic; ! bad
pag-siddaawen Enclitic; ! baffle
maleta Enclitic; ! bag
supot Enclitic; ! bag
piansa Enclitic; ! bail
agtimbeng Enclitic; ! balance
pagtimbangen Enclitic; ! balance
panagpada Enclitic; ! balance
kalbo Enclitic; ! bald
bola Enclitic; ! ball
balota Enclitic; ! ballot
pasala Enclitic; ! ball
banko Enclitic; ! bank
banko Enclitic; ! bank
bankete Enclitic; ! banquet
padaya Enclitic; ! banquet
agsakasaka Enclitic; ! barefoot
tawar Enclitic; ! bargain
kabaret Enclitic; ! bar
agtaul Enclitic; ! bark
husk Enclitic; ! bark
taol Enclitic; ! bark
bariles Enclitic; ! barrel
kadaratn Enclitic; ! barren
lupes Enclitic; ! barren
nababa Enclitic; ! base
pagbantayan Enclitic; ! base
digos Enclitic; ! bath
agdigos Enclitic; ! bathe
panagdigos Enclitic; ! bath
kurarapnit Enclitic; ! bat
smalkurarapnit Enclitic; ! bat
sodmk Enclitic; ! bat
dangadang Enclitic; ! battle
ranget Enclitic; ! battle
bugtaken Enclitic; ! bawl
